vehicle_id,time_sec,direction,cx,cy
1166,108.91,DOWN,250,365
1169,109.48,UP,1010,352
1167,109.74,DOWN,403,365
1170,110.01,DOWN,253,369
1173,110.51,DOWN,415,366
1176,110.94,DOWN,264,367
1183,111.95,DOWN,74,368
1182,112.08,DOWN,421,378
1191,113.31,DOWN,13,364
1195,113.38,UP,1157,351
1199,113.95,UP,972,351
1193,114.18,DOWN,92,365
1204,114.71,UP,1178,356
1207,115.75,UP,1141,356
1205,115.95,DOWN,92,362
1212,116.65,UP,1133,358
1208,116.75,DOWN,253,363
1218,116.85,UP,1253,356
1219,117.82,DOWN,284,361
1221,117.98,DOWN,92,362
1224,118.02,DOWN,1256,390
1228,118.15,DOWN,1202,363
1234,118.79,UP,1156,354
1238,119.22,UP,1228,354
1236,119.89,DOWN,103,364
